name,abbreviation,url,fs_id,fs_doi,description,status,record_type,countries,year_created,funder,funder_type,maintaining_institution,maintaining_type,contact_name,contact_email,data_access_condition,data_deposition_condition,data_preservation_policy,linked_licence_name,linked_licence_url,related_standard_name,standard_relation,cross_references,object_types,subjects,tags,publications,similarity_score,_norm_name,_norm_abbreviation,_norm_domain,_match_type,_matched_to
German Portal for Medical Research Data,FDPG,https://forschen-fuer-gesundheit.de/,7386,,"The FDPG is the German Portal for Medical Research Data, a central online platform that allows researchers to request and access pseudonymized patient data and biosamples from routine clinical care at German university hospitals for scientific studies. It was developed as part of the Medical Informatics Initiative (MII) and harmonizes data from multiple university medical sites under common standards to support research while complying with data protection regulations.",ready,repository,Germany,,Federal Ministry of Education and Research,Government body,Medical Informatics Initiative,Consortium,General Contact,info@forschen-fuer-gesundheit.de,controlled,open,,,,,,https://www.re3data.org/repository/r3d100014444,dataset; physical object/material,Biomedical Science; Clinical Studies; Epidemiology; Health Science,,,0.4100452888402162,german portal for medical research data,fdpg,forschen-fuer-gesundheit.de,,
HUNT Databank,,https://hunt-db.medisin.ntnu.no/hunt-db/,7062,10.25504/FAIRsharing.37d135,"HUNT Databank is a research database hosted by the Department of Public Health and Nursing at NTNU (Norwegian University of Science and Technology). It provides access to data from the HUNT (Health Study of Nord-Trøndelag) studies, covering health, genetics, lifestyle, and epidemiological variables.",ready,repository,Norway,,,,NTNU - Norwegian University of Science and Technology,University,General Contact,kontakt@hunt.ntnu.no,open,not applicable,,,,,,https://www.re3data.org/repository/r3d100011297; https://scicrunch.org/resolver/SCR_010626,dataset,Clinical Studies; Epidemiology; Health Science,,,0.3982157767538616,hunt databank,,hunt-db.medisin.ntnu.no,,
International Traditional Medicine Clinical Trial Registry,ISRCTN Registry,http://www.isrctn.com/,2928,10.25504/FAIRsharing.01d14a,"The ISRCTN registry is a primary clinical trial registry recognised by WHO and ICMJE that accepts all clinical research studies (whether proposed, ongoing or completed), providing content validation and curation and the unique identification number necessary for publication. All study records in the database are freely accessible and searchable.",ready,repository,United Kingdom,,"Medical Research Council; Department of Health, UK; Canadian Institutes of Health Research; The Wellcome Trust",Government body; Charitable foundation,ISRCTN; Springer Nature,Company; Publisher,,,open,controlled,,,,,,https://www.re3data.org/repository/r3d100013307,dataset,Virology; Preclinical Studies; Biomedical Science; Clinical Studies; Epidemiology,,,0.3876871634865866,international traditional medicine clinical trial registry,isrctn registry,isrctn.com,,
Australian New Zealand Clinical Trials Registry,ANZCTR,http://www.anzctr.org.au/,2927,10.25504/FAIRsharing.7f07dd,"The Australian New Zealand Clinical Trials Registry (ANZCTR) is an online register of clinical trials being undertaken in Australia, New Zealand and elsewhere. The ANZCTR includes trials from the full spectrum of therapeutic areas of pharmaceuticals, surgical procedures, preventive measures, lifestyle, devices, treatment and rehabilitation strategies and complementary therapies. The ANZCTR mandatory data items comply with the minimum dataset requirements of the International Committee of Medical Journal Editors (ICMJE) and the World Health Organization (WHO).",ready,repository,Australia; New Zealand,,National Collaborative Research Infrastructure Strategy; Australian Government - department of Health; Health Research Council of New Zealand; Therapeutic innovation Australia,Government body,NHMRC Clinical Trials Centre,Research institute,,,open,open,,ANZCTR Terms and Conditions,http://www.anzctr.org.au/Support/Terms.aspx,,,https://www.re3data.org/repository/r3d100011164,dataset,Virology; Preclinical Studies; Biomedical Science; Clinical Studies; Medical Informatics; Epidemiology; Public Health; Health Science,,,0.3814287915039202,australian new zealand clinical trials registry,anzctr,anzctr.org.au,,
UMIN Clinical Trials Registry,UMIN-CTR,https://www.umin.ac.jp/ctr/index.htm,2931,10.25504/FAIRsharing.802961,"UMIN-CTR is a Clinical Trials Registry hosted by the japanese University Hospital Medical Information Network (UMIN). UMIN-CTR has been recognized by the ICMJE as an ""acceptable registry"". At a minimum, a paper should be received for consideration by an ICMJE-affiliated journal, if the corresponding trial is registered by the appropriate deadline with UMIN-CTR. The WHO is developing the International Clinical Trials Registry Platform (ICTRP) project in order to collect various clinical trial registry systems throughout the world under fixed standards as ""member registries"" and ""associate registries. """,ready,repository,Japan,,"Ministry of Education, Culture, Sports, Science and Technology of Japan (MEXT), Tokyo, Japan",Government body,University Hospital Medical Information Network,Consortium,,,open,controlled,,,,,,https://www.re3data.org/repository/r3d100012003,dataset,Virology; Preclinical Studies; Clinical Studies; Epidemiology,,,0.3637589141456564,umin clinical trials registry,umin-ctr,umin.ac.jp,,
Models of Infectious Disease Agent Study Catalog,MIDAS Catalog,https://catalog.midasnetwork.us,5867,10.25504/FAIRsharing.4864a5,"The MIDAS Catalog is a web-based platform hosted by the MIDAS (Models of Infectious Disease Agent Study) Network Coordination Center that provides information on a curated collection of resources (e.g., datasets, software, repositories, etc.) pertinent to the field of infectious disease modeling, along with access to the MIDAS Curated Archive of Global Public Health Data, which is an archive of worldwide official public health data retrieved from ministries of health, public health agencies, and other governmental websites. Each entry in the Catalog contains key information about the resource, such as a detailed description of the software or dataset content (language, geographic region, time frame, topics, license, etc.), link to the resource, information about related data, information about creators, downloadable data (for the Curated Archive only), and more.",ready,knowledgebase,United States,,National Institute of General Medical Sciences,Government body,MIDAS Coordination Center (MCC); University of Pittsburgh,University; Consortium,General Contact,questions@midasnetwork.us,open,not applicable,,,,,,,dataset; image; model; software application,Biomedical Science; Epidemiology; Public Health; Health Science; Global Health; Infectious Disease Medicine,,,0.3572979554957803,models of infectious disease agent study catalog,midas catalog,catalog.midasnetwork.us,,
Clinical Trials Information System,CTIS,https://euclinicaltrials.eu/,4990,10.25504/FAIRsharing.dc6f5c,"The Clinical Trials Information System (CTIS) is the online system for the regulatory submission, authorisation and supervision of clinical trials in the European Union and the European Economic Area. From 31 January 2023, all initial clinical trial applications in the European Union (EU) must be submitted via the Clinical Trials Information System (CTIS). CTIS is now the single-entry point for sponsors and regulators of clinical trials for the submission and assessment of clinical trial data. This follows a one-year transition, during which sponsors could choose whether to apply for a new clinical trial in the EU/EEA in line with the Clinical Trials Directive or under the new Clinical Trials Regulation (CTR), which entered into application on 31 January 2022.",ready,repository,European Union,,,,"European Medicines Agency, London, UK",Government body,General Website Information,ct.communication@ema.europa.eu,open,controlled,,,,,,,dataset,Biomedical Science; Clinical Studies; Health Science,,,0.348812768820496,clinical trials information system,ctis,euclinicaltrials.eu,,
Overview of Medical Research in the Netherlands,OMON,https://onderzoekmetmensen.nl/en,2932,10.25504/FAIRsharing.17b1e4,"The Overview of Medical Research in the Netherlands (OMON), previously the Dutch Trial Register (LTR), is a register in which a part of the clinical studies in The Netherlands are registered. OMON currently includes all research from the old National Trial Register (NTR) and Toetsingonline registries and more recent studies registered in the Research Portal and CTIS. The Central Committee on Research Involving Human Subjects (CCMO) manages the register. CCMO is accountable to the Ministry of Health, Welfare and Sport and is a non-profit organisation. OMON is an official data provider to the International Clinical Trial Registry Platform (ICTRP) of the World Health Organization (WHO). ",ready,repository,Netherlands,,,, Central Committee on Research Involving Human Subjects (CCMO),Government body,OMON CCMO,omon@ccmo.nl,open,controlled,No data preservation policy found.,Creative Commons CC0 1.0 Universal (CC0 1.0) Public Domain Dedication,https://creativecommons.org/publicdomain/zero/1.0/,,,https://www.re3data.org/repository/r3d100013311; https://scicrunch.org/resolver/RRID:SCR_010234,dataset,Virology; Preclinical Studies; Clinical Studies; Epidemiology,,,0.3372870930803672,overview of medical research in the netherlands,omon,onderzoekmetmensen.nl,,
HealthData.gov,HealthData.gov,https://www.healthdata.gov/,2246,10.25504/FAIRsharing.kcpnmb,"HealthData.gov makes high value health data more accessible to entrepreneurs, researchers, and policy makers in the hopes of better health outcomes for all. Data is drawn from CMS, CDC, FDA and NIH, among others that are easily available and accessible to the public and to innovators across the country. This information includes clinical care provider quality information, nationwide health service provider directories, databases of the latest medical and scientific knowledge, consumer product data, community health performance information, government spending data and much more.",ready,knowledgebase_and_repository,United States,,,,United States Department of Health and Human Services,Government body,General Enquiries,HealthData@HHS.gov,open,not applicable,not found,HHS Privacy Policy,http://www.hhs.gov/privacy.html,,,https://www.re3data.org/repository/r3d100010593; https://scicrunch.org/resolver/RRID:SCR_004386,document; dataset; image,Preclinical Studies; Biomedical Science; Health Science; Medicine,,,0.3370951207689763,healthdata.gov,healthdata.gov,healthdata.gov,,
Maelstrom Catalogue,,https://www.maelstrom-research.org/page/catalogue,6705,10.25504/FAIRsharing.a65dc5,"The Maelstrom Catalogue provides a user-friendly solution for data discovery. It contains comprehensive information about epidemiological research networks and studies, and the data they have collected. It also provides information about harmonized data generated by these research networks.",ready,knowledgebase,Canada,,,,"Maelstrom Research, RI MUHC, Montreal General Hospital","Research institute, Consortium",Isabel Fortier,isabel.fortier2@mcgill.ca,open,open,,,,,,https://www.re3data.org/repository/r3d100013995,dataset,Clinical Studies; Epidemiology,,10.1093/ije/dyw075,0.3369657568098352,maelstrom catalogue,,maelstrom-research.org,,
